#Diameters of Open Star Clusters
#
#van den Bergh S., 2006, Astron. J. 131, 1559 (2006AJ....131.1559V)
#
#Column contents:
#
#Name : cluster designation
#diameter : Cluster diameter in [pc]
#dist : Distance in [pc]
#Z : Distance from the galactic plane in [pc]
#EBV : Colour exces E(B-V) -- NOTE: some are missing this column, and not well separated below
#logt : logarithm of the age
#
#Name	diameter	dist	Z	EBV	logt
#
NGC_2395	2.09	512	124	0.12	9.07
NGC_2401	3.43	5888	190	0.35	7.80
NGC_2414	5.03	3455	117	0.51	6.98
NGC_2420	4.49	3085	1036	0.03	9.05
NGC_2421	4.44	2181	3	0.45	7.37
NGC_2422	3.56	490	27	0.07	7.86
NGC_2423	2.67	766	47	0.10	8.87
NGC_2425	5.89	4053	231	0.31	9.20
NGC_2432	3.32	1905	59	0.23	8.80
NGC_2437	8.00	1375	97	0.15	8.39
NGC_2439	10.09	3855	-300	0.41	7.25
NGC_2447	3.02	1037	2	0.05	8.59
NGC_2451B	9.49	302	-35	0.06	7.65
NGC_2453	2.50	2150	-35	0.45	7.19
NGC_2467	5.52	1355	9	0.34	7.10
NGC_2477	5.33	1222	-124	0.28	8.85
NGC_2482	3.91	1343	48	0.09	8.60
NGC_2483	3.38	1659	7	0.30	7.09
NGC_2489	6.91	3957	-53	0.37	7.26
NGC_2506	12.08	3460	597	0.08	9.04
NGC_2516	3.57	409	-112	0.10	8.05
NGC_2527	1.75	601	19	0.04	8.65
NGC_2533	4.91	3379	77	0.05	8.88
NGC_2539	3.57	1363	263	0.08	8.57
NGC_2546	18.71	919	-32	0.13	7.87
NGC_2547	3.31	455	-68	0.04	7.56
NGC_2548	6.71	769	204	0.03	8.56
NGC_2567	3.41	1677	87	0.13	8.47
NGC_2571	3.12	1342	83	0.14	7.49
NGC_2579	2.10	1033	4	0.15	7.61
NGC_2588	2.29	5248	224	0.30	8.60
NGC_2627	4.73	2034	236	0.09	8.57
NGC_2632	3.81	187	100	0.01	8.86
NGC_2635	1.67	5754	397	0.35	8.50
NGC_2645	1.46	1668	-85	0.38	7.28
NGC_2658	3.53	2021	214	0.04	9.15
NGC_2659	2.49	1713	-3	0.51	6.89
NGC_2660	2.88	2826	-149	0.31	9.03
NGC_2669	6.09	1046	-111	0.18	7.93
NGC_2670	2.42	1188	-75	0.43	7.69
NGC_2671	2.90	1660	23	1.04	7.90
NGC_2682	6.60	908	476	0.06	9.41
NGC_2818	4.86	1855	277	0.12	8.63
NGC_2866	1.11	1901	-25	0.63	7.66
NGC_2910	3.03	2607	-54	0.34	8.20
NGC_2925	2.25	774	-17	0.08	7.85
NGC_2972	1.80	2062	63	0.34	7.97
NGC_3033	1.07	922	-33	0.33	7.84
NGC_3105	2.84	4884	22	0.99	7.24
NGC_3114	9.27	911	-61	0.07	8.09
NGC_3228	0.79	544	43	0.03	7.93
NGC_3247	1.80	1547	-9	0.22	8.08
NGC_3255	0.84	1445	-66	0.25	8.30
NGC_3293	4.06	2327	3	0.26	7.01
NGC_3324	8.09	2317	-8	0.44	6.75
NGC_3330	1.04	894	60	0.05	8.23
NGC_3496	2.30	990	-7	0.47	8.47
NGC_3532	7.07	486	11	0.04	8.49
NGC_3572	2.90	1995	7	0.39	6.89
NGC_3590	1.44	1651	-5	0.45	7.23
NGC_3603	0.53	3634	-33	1.34	6.84
NGC_3680	1.36	938	273	0.07	9.08
NGC_3766	2.54	1745	-1	0.18	7.16
NGC_3960	3.28	2258	243	0.30	8.82
NGC_4052	3.17	1209	-19	0.16	8.50
NGC_4103	2.85	1632	33	0.29	7.39
NGC_4337	0.57	489	39	0.15	8.45
NGC_4349	3.16	2176	32	0.38	8.32
NGC_4439	2.08	1785	82	0.35	7.91
NGC_4463	1.07	1050	-37	0.43	7.50
NGC_4609	1.42	1223	-3	0.33	7.89
NGC_4755	5.75	1976	86	0.39	7.22
NGC_4815	4.48	3079	-113	0.81	8.37
NGC_5138	4.04	1986	122	0.26	7.99
NGC_5168	2.07	1777	48	0.43	8.00
NGC_5281	2.26	1108	-14	0.22	7.15
NGC_5316	4.95	1215	2	0.27	8.20
NGC_5460	6.90	678	148	0.09	8.21
NGC_5606	1.58	1805	31	0.47	7.08
NGC_5617	4.46	1533	-3	0.48	7.92
NGC_5662	5.62	666	39	0.31	7.97
NGC_5749	3.00	1031	82	0.38	7.73
NGC_5822	9.34	917	57	0.15	8.82
NGC_5823	4.16	1192	51	0.09	8.90
NGC_5999	1.79	2050	-69	0.45	8.60
NGC_6005	3.91	2690	-140	0.45	9.08
NGC_6025	3.08	756	-78	0.16	7.89
NGC_6031	1.59	1823	-48	0.37	8.07
