COCD,Name,GLON[deg],GLAT[deg],DistMod,E(B-V),Dist[pc],logt[yr],rt[pc],e_rt[pc],logM[MSun],e_logM[MSun],rtA[pc],e_rtA[pc],logMA[MSun],e_logMA[MSun],Simbad_ID
1117,ASCC_117,104.85,5.39,11.325999999999999,0.3,1200,6.67,15.8,3.4,3.12,0.28600000000000003,20.5,5.0,3.4610000000000003,0.32299999999999995,ASCC_117
1118,ASCC_118,104.48,4.21,10.700999999999999,0.3,900,7.02,,,,,6.5,1.4,1.983,0.28300000000000003,ASCC_118
1119,ASCC_119,97.73,-8.39,10.31,0.1,1000,8.83,,,,,8.1,2.0,2.269,0.322,ASCC_119
1120,ASCC_120,104.73,-0.6,13.912,0.62,2500,7.08,,,,,36.1,7.1,4.137,0.258,ASCC_120
1121,ASCC_121,103.56,-2.59,12.92,0.3,2500,7.73,,,,,26.6,5.0,3.741,0.247,ASCC_121
1122,ASCC_122,95.91,-15.9,9.535,0.1,700,6.98,,,,,19.9,3.1,3.4530000000000003,0.205,ASCC_122
1123,ASCC_123,104.74,-4.0,7.3,0.1,250,8.41,,,,,10.9,1.6,2.6689999999999996,0.19399999999999998,ASCC_123
1124,ASCC_124,101.73,-11.48,9.356,0.15,600,8.48,8.1,1.2,2.286,0.191,5.9,1.4,1.8659999999999999,0.313,ASCC_124
1125,ASCC_125,110.17,2.76,13.081,0.71,1500,7.01,,,,,45.2,8.4,4.467,0.244,ASCC_125
1126,ASCC_126,106.58,-8.46,9.825,0.1,800,7.26,,,,,9.7,1.8,2.508,0.249,ASCC_126
1127,ASCC_127,112.26,4.13,8.03,0.1,350,7.82,8.9,1.1,2.408,0.17,9.2,1.4,2.445,0.205,ASCC_127
1128,ASCC_128,109.93,-5.96,10.174,0.13,900,8.44,11.6,1.3,2.725,0.154,12.0,2.0,2.7689999999999997,0.21899999999999997,ASCC_128
1129,ASCC_129,111.27,-5.37,10.558,0.18,1000,8.69,,,,,8.5,1.6,2.309,0.247,ASCC_129
1130,ASCC_130,116.2,0.33,14.269,0.52,3400,7.03,,,,,23.3,5.7,3.4360000000000004,0.324,ASCC_130
