COCD,Name,GLON[deg],GLAT[deg],DistMod,E(B-V),Dist[pc],logt[yr],rt[pc],e_rt[pc],logM[MSun],e_logM[MSun],rtA[pc],e_rtA[pc],logMA[MSun],e_logMA[MSun],Simbad_ID
443,NGC_6613,14.18,-1.01,11.958,0.45,1296,7.52,,,,,7.3,1.5,2.274,0.273,M_18
444,NGC_6618,15.05,-0.7,16.253,1.6,1814,6.78,27.0,3.9,4.026,0.192,38.2,11.0,4.479,0.377,NGC_6618
445,Trumpler_33,12.39,-3.23,12.337,0.36,1755,7.84,,,,,5.8,2.4,2.031,0.545,Cl_Trumpler_33
446,NGC_6633,36.01,8.34,8.485,0.18,385,8.76,6.5,0.5,2.039,0.10300000000000001,6.8,0.7,2.097,0.141,NGC_6633
447,NGC_6639,18.91,-1.51,9.845,0.2,700,8.86,,,,,5.2,1.3,1.791,0.33,NGC_6639
448,Ruprecht_141,19.69,-1.2,15.469000000000001,0.57,5500,6.92,,,,,29.0,11.5,4.345,0.517,Cl_Ruprecht_141
449,IC_4725,13.68,-4.41,10.357000000000001,0.45,620,7.83,15.2,1.6,3.1719999999999997,0.14300000000000002,13.7,1.7,3.0439999999999996,0.168,IC_4725
450,IC_4756,36.37,5.26,9.013,0.19,484,8.79,18.8,1.6,3.428,0.11900000000000001,14.7,1.2,3.112,0.115,IC_4756
451,NGC_6694,23.88,-2.91,12.856,0.6,1582,8.3,,,,,7.6,1.7,2.356,0.3,M_26
452,Ruprecht_145,16.51,-8.01,10.207,0.25,770,8.64,9.9,1.6,2.63,0.20800000000000002,9.6,1.5,2.59,0.204,Ruprecht_145
453,NGC_6705,27.3,-2.77,12.7,0.43,1877,8.07,,,,,10.8,1.9,2.82,0.237,NGC_6705
454,NGC_6709,42.12,4.72,11.149000000000001,0.32,1075,8.14,9.0,2.3,2.504,0.34299999999999997,7.6,1.2,2.295,0.21600000000000003,NGC_6709
455,Collinder_394,14.9,-9.26,9.979,0.24,703,7.86,14.0,2.7,3.076,0.252,11.6,1.6,2.832,0.18100000000000002,Collinder_394
456,Stephenson_1,66.81,15.39,7.983,0.04,373,7.69,11.5,4.1,2.77,0.46299999999999997,13.6,1.8,2.983,0.17600000000000002,Stephenson_1
457,NGC_6716,15.39,-9.58,10.105,0.2,789,7.47,,,,,4.0,0.9,1.456,0.28300000000000003,NGC_6716
458,NGC_6728,25.74,-5.68,10.465,0.15,1000,8.93,,,,,5.5,1.3,1.881,0.309,NGC_6728
459,NGC_6738,44.39,3.11,9.38,0.05,700,9.16,,,,,3.2,1.0,1.14,0.41200000000000003,NGC_6738
460,Ruprecht_147,20.99,-12.81,6.68,0.15,175,9.39,7.1,1.0,2.148,0.195,5.3,0.6,1.7690000000000001,0.155,Ruprecht_147
461,NGC_6793,56.16,3.32,10.734000000000002,0.17,1100,8.64,,,,,6.9,1.7,2.138,0.317,NGC_6793
462,NGC_6800,59.23,3.95,11.24,0.4,1000,8.59,,,,,6.2,1.3,1.9969999999999999,0.281,NGC_6800
463,Stock_1,60.25,2.26,8.247,0.17,350,8.53,4.6,0.7,1.58,0.19899999999999998,4.8,0.7,1.62,0.2,C_1933+251
464,NGC_6811,79.21,12.02,10.901,0.14,1240,8.76,10.0,1.1,2.5780000000000003,0.154,12.7,1.7,2.8989999999999996,0.18100000000000002,NGC_6811
465,NGC_6823,59.4,-0.14,13.99,0.84,1893,7.01,18.6,3.2,3.4530000000000003,0.22699999999999998,28.1,6.6,3.9960000000000004,0.31,NGC_6823
466,Turner_9,64.75,2.51,10.117,0.15,852,8.06,28.5,3.3,3.969,0.157,26.4,2.4,3.8680000000000003,0.125,NAME_SU_Cygni_Cluster
467,Roslund_1,54.6,-3.39,9.285,0.05,670,8.47,,,,,3.9,1.0,1.395,0.318,C_1942+174
468,Roslund_2,60.19,-0.28,14.295,0.9,2000,6.89,,,,,27.1,7.7,3.949,0.373,C_1943+238
469,NGC_6828,46.82,-9.27,9.511000000000001,0.2,600,8.56,,,,,4.0,1.3,1.4240000000000002,0.433,NGC_6828
470,NGC_6830,60.13,-1.8,12.623,0.5,1639,7.52,,,,,15.6,5.2,3.218,0.439,NGC_6830
471,Roslund_3,58.8,-4.68,11.956,0.34,1515,7.61,10.6,3.6,2.715,0.445,11.9,2.6,2.861,0.28300000000000003,C_1956+203
472,Dolidze_36,77.69,6.03,10.453,0.22,900,8.83,,,,,6.7,1.5,2.072,0.298,Dolidze_36
473,NGC_6866,79.56,6.84,11.334000000000001,0.17,1450,8.68,,,,,5.3,1.2,1.768,0.29,NGC_6866
474,Alessi_10,31.64,-20.98,9.232999999999999,0.22,513,8.71,,,,,3.2,0.8,1.143,0.33299999999999996,Alessi_10
475,Dolidze_38,77.19,5.02,10.860999999999999,0.15,1200,8.95,,,,,9.2,2.3,2.481,0.326,C_2004+410
476,NGC_6871,72.64,2.06,12.349,0.44,1574,6.99,10.8,2.6,2.698,0.316,14.2,2.5,3.062,0.23399999999999999,NGC_6871
477,Biurakan_1,72.74,1.76,12.044,0.33,1600,7.25,,,,,13.5,2.7,2.991,0.263,Biurakan_1
478,Biurakan_2,72.74,1.35,11.335,0.36,1106,7.14,,,,,7.0,1.4,2.135,0.271,Cl_Biurakan_2
479,Roslund_5,71.47,0.23,8.416,0.1,418,7.77,6.8,2.5,2.0869999999999997,0.474,8.1,1.1,2.31,0.174,Roslund_5
480,NGC_6883,73.27,1.17,11.629000000000001,0.3,1380,7.53,,,,,8.8,1.8,2.428,0.266,NGC_6883
481,Ruprecht_172,73.11,1.01,10.827,0.2,1100,8.91,,,,,8.7,1.8,2.418,0.266,C_2009+354
482,NGC_6882,65.77,-3.84,7.732,0.02,342,8.16,,,,,2.0,0.6,0.513,0.373,NGC_6882
483,IC_4996,75.35,1.31,13.052999999999999,0.6,1732,6.8,,,,,14.1,3.6,3.042,0.335,IC_4996
484,Collinder_419,78.07,2.79,10.4,0.34,740,6.85,,,,,7.3,1.8,2.169,0.32,Collinder_419
485,Berkeley_86,76.66,1.27,13.020999999999999,0.9,1112,6.96,,,,,5.7,2.0,1.864,0.445,Berkeley_86
486,NGC_6910,78.68,2.01,13.29,0.97,1139,7.33,,,,,8.1,1.9,2.316,0.301,NGC_6910
487,Collinder_421,79.44,2.53,10.199,0.1,950,9.06,,,,,3.7,0.8,1.295,0.295,C_2021+415
488,NGC_6913,76.9,0.6,13.338,0.98,1148,7.12,,,,,4.1,1.0,1.431,0.33299999999999996,M_29
489,Roslund_6,78.06,0.26,8.452,0.06,450,8.47,4.9,1.1,1.66,0.287,4.3,1.2,1.489,0.35200000000000004,C_2027+392
490,Cyg_OB2,80.21,0.79,14.91,1.3,1500,6.72,40.6,7.3,4.409,0.23800000000000002,43.4,8.1,4.495,0.245,Ass_Cyg_OB_2
491,NGC_6940,69.85,-7.15,10.083,0.21,770,8.94,11.5,1.4,2.77,0.162,9.7,1.0,2.56,0.145,NGC_6940
492,Alessi_12,67.41,-11.46,8.898,0.08,537,7.9,11.2,2.5,2.736,0.29600000000000004,9.8,1.4,2.5669999999999997,0.192,Alessi_12
493,Roslund_7,79.8,-4.22,9.845,0.2,700,8.67,9.4,1.3,2.494,0.184,9.5,1.5,2.51,0.212,Roslund_7
494,NGC_6991,87.39,1.6,9.225,0.0,700,9.11,10.6,1.1,2.6430000000000002,0.14300000000000002,8.3,1.1,2.334,0.174,NGC_6991
495,NGC_7039,87.88,-1.7,10.294,0.13,951,8.83,,,,,11.7,2.4,2.7689999999999997,0.271,NGC_7039
496,NGC_7058,92.9,0.59,8.196,0.06,400,8.35,,,,,1.6,0.4,0.159,0.326,NGC_7058
497,NGC_7063,83.06,-9.88,9.47,0.09,689,8.08,6.5,1.3,2.009,0.255,7.4,1.8,2.178,0.321,NGC_7063
498,NGC_7082,91.16,-2.87,11.539000000000001,0.24,1442,7.91,16.4,2.3,3.201,0.19,22.2,3.5,3.595,0.20800000000000002,NGC_7082
499,NGC_7092,92.41,-2.23,7.495,0.01,311,8.57,8.6,1.8,2.365,0.28,8.0,1.1,2.27,0.182,M_39
500,IC_1396,99.28,3.74,11.065,0.47,835,6.69,17.8,2.8,3.299,0.21,19.8,3.2,3.4389999999999996,0.215,IC_1396
501,NGC_7160,104.0,6.46,10.584000000000001,0.35,794,7.66,,,,,6.7,1.7,2.019,0.33899999999999997,NGC_7160
502,NGC_7209,95.51,-7.36,10.831,0.16,1167,8.65,10.4,5.4,2.6,0.682,9.2,1.4,2.444,0.201,NGC_7209
503,NGC_7235,102.7,0.78,15.137,0.93,2823,6.76,,,,,9.3,3.3,2.358,0.47,NGC_7235
