ID,RA,Dec,ID_Simbad
[KPS2012]_MWSC_1712,09 46 52.000,-64 37 54.000,[KPS2012]_MWSC_1712
ESO_97-15,14 15 25.000,-64 37 48.000,ESO_97-15
ESO_92-18,10 14 55.200,-64 36 39.600,ESO_92-18
C_1155-642,11 58 51.600,-64 34 51.600,C_1155-642
C_1330-642,13 34 23.000,-64 33 00.000,C_1330-642
[KPS2012]_MWSC_2081,13 04 41.000,-64 32 42.000,[KPS2012]_MWSC_2081
[KPS2012]_MWSC_1923,11 13 51.000,-64 28 36.000,[KPS2012]_MWSC_1923
[KPR2005]_82,15 47 02.000,-64 24 42.000,[KPR2005]_82
IC_2602,10 42 27.120,-64 25 33.600,IC_2602
[KPR2005]_70,12 14 49.000,-64 24 00.000,[KPR2005]_70
[KPR2005]_56,10 08 19.000,-64 22 48.000,[KPR2005]_56
Cl_Loden_894,13 39 41.000,-64 19 12.000,Cl_Loden_894
[KPS2012]_MWSC_4463,18 58 55.000,-64 15 54.000,[KPS2012]_MWSC_4463
C_1326-639,13 29 48.720,-64 11 56.400,C_1326-639
Juchert_13,12 01 43.440,-64 05 56.400,Juchert_13
Cl_VDBH_132,12 26 52.800,-64 03 28.800,Cl_VDBH_132
C_1200-635,12 03 29.000,-63 51 36.000,C_1200-635
[KPR2004b]_279,11 09 16.800,-63 50 02.400,[KPR2004b]_279
NGC_6588,18 20 31.000,-63 48 36.000,NGC_6588
[DBS2003]_79,12 48 47.000,-63 43 42.000,[DBS2003]_79
Teutsch_79,13 23 39.000,-63 38 18.000,Teutsch_79
[SSW94]_d,12 14 01.000,-63 35 24.000,[SSW94]_d
IC_2948,11 39 17.280,-63 26 24.000,IC_2948
C_1128-631,11 31 05.280,-63 25 33.600,C_1128-631
Cl_Melotte_105,11 19 40.800,-63 29 09.600,Cl_Melotte_105
NGC_5155,13 29 53.000,-63 27 18.000,NGC_5155
[KPS2012]_MWSC_2040,12 29 19.000,-63 25 48.000,[KPS2012]_MWSC_2040
NGC_5045,13 14 31.000,-63 25 12.000,NGC_5045
Cl_Platais_12,13 52 35.000,-63 24 18.000,Cl_Platais_12
C_1440-631,14 44 20.000,-63 24 18.000,C_1440-631
Cl_VDBH_131,12 26 10.000,-63 24 00.000,Cl_VDBH_131
