Simbad_ID,Name_webda,RA_2000_webda,Dec_2000_webda,l_webda,b_webda,Dist_webda,Mod_webda,EB-V_webda,Age_webda,ST_webda,Z_webda,Diam_webda,Fe/H_webda,MRV_webda,pm RA_webda,pm Dec_webda,Measures_webda,Stars_webda
NGC_2451A,NGC_2451A,07 43 12,-38 24 00,252.575,-7.297999999999999,189.0,6.41,0.01,7.78,B7,-24.0,120.0,0.0,,,,165,165
NAME_HIP_37742_Cluster,NGC_2451B,07 44 27,-37 40 00,252.051,-6.726,302.0,7.57,0.055,7.648,B7,-35.4,108.0,-0.45,,-10.07,5.45,49,49
NGC_2447,NGC_2447,07 44 30,-23 51 24,240.03900000000002,0.135,1037.0,10.22,0.046,8.588,B9,2.4,10.0,,21.7,-4.85,4.47,70,61
NGC_2448,NGC_2448,07 44 34,-24 40 48,240.76,-0.26,1040.0,10.15,0.02,7.19,,-4.7,36.0,,15.0,-3.8,4.69,74,74
C_0742-282,Haffner_14,07 44 51,-28 22 00,243.986,-2.05,,,,,,,10.0,,,,,13,13
Cl_Ruprecht_32,Ruprecht_32,07 45 10,-25 32 00,241.56599999999997,-0.573,5346.0,15.19,0.5,7.08,,-53.5,5.0,,,,,16,16
C_0743-326,Haffner_15,07 45 32,-32 51 00,247.952,-4.158,2078.0,15.13,1.141,7.166,,-150.7,3.0,,,,,3086,3076
C_0743-202,Ruprecht_34,07 45 55,-20 23 00,237.195,2.157,,,,,,,6.0,,,,,10,10
Cl_Berkeley_39,Berkeley_39,07 46 42,-04 36 00,223.46200000000002,10.095,4780.0,13.77,0.12,9.9,,837.8,7.0,-0.17,55.0,,,60,60
NAME_Herschel_1,ASCC_41,07 47 02,+00 01 11,219.35,12.35,370.0,7.9,0.02,8.44,,79.1,43.2,,,1.93,-3.93,43,43
NGC_2453,NGC_2453,07 47 35,-27 11 42,243.275,-0.94,2150.0,13.04,0.446,7.187,B0,-35.3,4.0,,,,,93,93
C_0746-261,Ruprecht_36,07 48 23,-26 18 00,242.593,-0.33299999999999996,1681.0,11.64,0.166,7.606,,-9.8,5.0,,,,,87,87
Cl_Haffner_16,Haffner_16,07 50 20,-25 28 00,242.097,0.467,3165.0,13.04,0.175,7.077999999999999,,25.8,5.0,,,-3.26,0.99,1208,1206
NGC_2477,NGC_2477,07 52 10,-38 31 48,253.563,-5.837999999999999,1222.0,11.3,0.27899999999999997,8.847999999999999,,-124.3,15.0,0.01,7.0,,,16843,16843
ESO_123-26,ESO_123-26,07 52 11,-60 21 36,273.11,-16.32,550.0,9.1,0.13,8.33,,-154.6,26.0,,,-1.41,7.56,29,29
NGC_2467,NGC_2467,07 52 26,-26 26 12,243.172,0.37799999999999995,1355.0,11.71,0.33799999999999997,7.103,O5,8.9,14.0,,66.0,-5.82,1.63,178,93
C_0750-262,Haffner_18,07 52 39,-26 23 00,243.15099999999998,0.447,6028.0,15.79,0.611,6.893,,47.0,2.0,,,,,1782,1782
