#name logM[Msun] rtP[pc] log(t[yr])K rcK[pc] rtK[pc] Rhm[pc] [Fe/H]K
#-------------------------------------------------------------------
NGC_1708                 1.703     5.400     8.755     0.910     3.470     1.076 99.999
NGC_1746                 2.893    13.700     8.640     4.180     9.670    -9.999 99.999
NGC_1778                 2.025     7.500     8.450     1.290     8.520     2.490 99.999
NGC_1802                 1.555     4.700     9.150     1.350    10.900     3.118 99.999
NGC_1817                 3.244    20.000     8.900     2.420    10.570     3.229 -0.140
NGC_1901                 2.095     6.900     8.850     0.420     5.480     1.489 -0.331
NGC_1893                 3.461    27.700     6.550     1.910    15.610     4.459 99.999
NGC_1896                 1.541     4.900     9.100     3.290    10.960     3.447 99.999
NGC_1907                 2.875    14.200     8.600     1.380     9.960     2.883 99.999
NGC_1912                 3.062    16.000     8.350     2.980    10.250     3.212 99.999
NGC_1981                 1.298     3.900     7.110     0.950     2.140    -9.999 99.999
NGC_1976                 1.988     6.600     6.000     0.740     5.520     1.592 99.999
NGC_1977                 1.441     4.400     6.600     0.980     2.200    -9.999 99.999
NGC_1980                 1.530     4.700     6.670     0.960     3.310     1.037 99.999
NGC_1960                 2.491    10.600     7.565     1.310     8.590     2.512 99.999
NGC_1996                 2.720    12.700     8.515     2.020    13.790     4.016 99.999
NGC_2099                 2.856    14.100     8.550     2.520    15.210     4.488  0.089
NGC_2129                 1.473     4.900     7.480     0.880     7.040     2.016 99.999
NGC_2143                 1.897     6.400     9.090     0.640    11.460     3.010 99.999
NGC_2169                 1.481     4.700     6.890     1.000     5.350     1.599 99.999
NGC_2168                 3.558    22.900     8.255     2.590    16.320     4.793 -0.160
NGC_2180                 1.937     6.600     9.355     0.750     5.290     1.535 99.999
NGC_2184                 1.721     5.500     8.600     0.290     2.890     0.808 99.999
NGC_2186                 1.547     5.100     8.200     0.790     7.510     2.111 99.999
NGC_2202                 1.116     3.500     9.200     0.490     8.270     2.186 99.999
NGC_2215                 2.685    12.000     8.550     0.740     8.860     2.429 99.999
NGC_2232                 2.007     6.600     7.700     1.520     3.080    -9.999  0.320
NGC_2244                 2.929    14.800     6.700     1.840    15.820     4.494 99.999
NGC_2240                 1.404     4.200     9.200     0.600     6.870     1.893 99.999
NGC_2252                 1.430     4.500     8.860     1.100     5.800     1.736 99.999
NGC_2251                 2.402     9.800     8.455     1.220     7.340     2.167  0.250
NGC_2264                 3.252    17.800     6.750     0.340    34.640     7.551 -0.150
NGC_2269                 2.442    10.400     8.665     0.800     6.770     1.927 99.999
NGC_2270                 3.172    17.700     8.915     3.380     7.250    -9.999 99.999
NGC_2287                 2.511     9.900     8.250     1.840     7.550     2.322  0.040
NGC_2281                 1.987     6.700     8.785     1.500     5.130     1.609  0.130
NGC_2301                 2.051     7.100     8.350     1.640     4.890    -9.999  0.060
NGC_2302                 1.114     3.500     8.350     0.510     6.150     1.685 99.999
NGC_2306                 2.147     7.800     9.000     1.210     7.520     2.212 99.999
NGC_2311                 2.822    14.100     8.815     1.220    15.970     4.337 99.999
NGC_2319                 2.133     7.800     9.035     0.590     5.550     1.562 99.999
NGC_2323                 2.734    12.000     8.255     2.180     9.650     2.944 99.999
NGC_2335                 2.889    14.000     8.200     1.710    12.110     3.513 -0.030
NGC_2343                 0.989     3.200     8.135     0.810     5.570     1.621 -0.300
NGC_2345                 2.336     9.700     7.900     2.380    15.700     4.589 99.999
NGC_2354                 3.840    33.500     8.610     4.890    10.940    -9.999 -0.109
NGC_2353                 2.602    11.000     7.200     0.970     8.080     2.303 99.999
NGC_2358                 1.825     5.800     8.785     1.120     5.760     1.729 99.999
NGC_2360                 2.999    15.600     8.650     2.270    12.740     3.789 -0.030
