Name,RA_2000,Dec_2000,l,b,Dist,Mod,EB-V,Age,ST,Z,Diam,Fe/H,MRV,pm RA,pm Dec,Measures,Stars
ASCC 59,10 20 13,-57 39 00,283.78,-0.51,550,8.86,0.05,8.60,,-4.9,42.0,,,-4.99,+3.65,140,140
NGC 3228,10 21 22,-51 43 42,280.697,4.545,544,8.76,0.028,7.932,B9,43.1,5.0,,,-15.64,-0.05,67,50
Westerlund 2,10 24 02,-57 46 00,284.276,-0.336,1874,13.80,0.785,7.215,,-11.0,2.0,,,,,7,7
NGC 3247,10 25 51,-57 55 24,284.30,-0.31,1547,11.63,0.221,8.083,,0.0,4.0,,,,,40,40
IC 2581,10 27 29,-57 37 00,284.588,0.035,2446,13.23,0.415,7.142,B0,1.5,5.0,-0.34,-6.00,-8.66,+2.00,415,377
Collinder 223,10 30 30,-59 49 00,286.190,-1.879,1686,11.95,0.263,7.014,,-55.3,9.0,,+2.00,,,110,110
Ruprecht 90,10 31 47,-58 14 24,285.40,-0.20,6000,14.88,0.32,7.10,,-20.9,21.6,,-40.00,-6.80,+03.47,30,30
Loden 112,10 32 23,-56 42 00,284.68,1.17,2500,13.85,0.60,6.96,,51.0,16.8,,,-8.05,+05.98,13,13
ASCC 60,10 33 07,-58 28 47,285.67,-0.32,800,9.82,0.10,8.36,,-4.5,14.4,,-14.50,-7.35,+2.36,21,21
Loden 153,10 34 40,-58 07 48,285.67,0.09,2670,13.00,0.28,6.74,,4.2,12.0,,-10.33,-5.85,+04.13,15,15
Bochum 9,10 35 46,-60 07 00,286.784,-1.569,4600,15.27,0.63,,,-126.0,15.0,,,,,14,14
NGC 3293,10 35 51,-58 13 48,285.856,0.074,2327,12.65,0.263,7.014,B0,3.0,6.0,,-13.00,-7.53,+3.10,1697,1429
vdBergh-Hagen 99,10 37 54,-59 11 00,286.558,-0.625,507,8.70,0.055,7.605,,-5.5,20.0,,,-13.74,+1.40,50,36
NGC 3330,10 38 46,-54 07 24,284.188,3.849,894,9.91,0.050,8.229,,60.0,4.0,,,,,10,10
ESO 062-11,10 38 55,-69 02 00,291.507,-9.155,910,11.10,0.42,8.53,,-144.8,14.0,,,-13.48,3.63,11,11
Collinder 228,10 42 04,-59 55 00,287.668,-1.047,2201,12.77,0.342,6.830,O5,-40.2,14.0,,-12.00,-6.55,+2.03,2863,2841
Bochum 10,10 42 12,-59 08 00,287.016,-0.315,2027,12.48,0.306,6.857,,-11.1,20.0,,,,,23,23
Melotte 101,10 42 12,-65 06 00,289.864,-5.561,1995,12.99,0.48,7.89,B6,-193.3,15.0,,,,,22,22
IC 2602,10 42 58,-64 24 00,289.601,-4.906,161,6.11,0.024,7.507,B0,-13.8,100.0,-0.09,,-17.49,+10.10,70,70
Alessi 5,10 43 08,-61 10 11,288.08,-2.05,398,8.46,0.15,7.71,,-14.2,36.0,,12.80,-14.56,+03.77,94,94
Trumpler 14,10 43 56,-59 33 00,287.408,-0.577,2733,13.78,0.516,6.828,O3,-27.5,5.0,,,-7.25,+2.69,179,179
